사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20200101,1호선,종각,20427,16301,20200104
20200101,1호선,시청,12126,10516,20200104
20200101,우이신설선,신설동,892,828,20200104
20200101,우이신설선,보문,917,855,20200104
20200101,우이신설선,성신여대입구(돈암),2010,2363,20200104
20200101,우이신설선,정릉,2096,1989,20200104
20200101,우이신설선,북한산보국문,2945,2849,20200104
20200101,우이신설선,솔샘,2477,2272,20200104
20200101,우이신설선,삼양사거리,1288,1316,20200104
20200101,우이신설선,삼양,1113,1188,20200104
20200101,우이신설선,화계,1789,1690,20200104
20200101,우이신설선,가오리,2041,1974,20200104
20200101,우이신설선,4.19민주묘지,1504,1352,20200104
20200101,우이신설선,솔밭공원,1201,1209,20200104
20200101,우이신설선,북한산우이,3048,2766,20200104
20200101,9호선2~3단계,중앙보훈병원,2911,2864,20200104
20200101,9호선2~3단계,둔촌오륜,333,354,20200104
20200101,9호선2~3단계,올림픽공원(한국체대),2371,2475,20200104
20200101,9호선2~3단계,한성백제,1482,1185,20200104
20200101,9호선2~3단계,송파나루,2060,2100,20200104
20200101,9호선2~3단계,석촌,3354,2750,20200104
20200101,9호선2~3단계,석촌고분,2533,2525,20200104
20200101,9호선2~3단계,삼전,2921,3037,20200104
20200101,9호선2~3단계,종합운동장,2212,1780,20200104
20200101,9호선2~3단계,봉은사,10651,10456,20200104
20200101,9호선2~3단계,삼성중앙,1724,1713,20200104
20200101,9호선2~3단계,선정릉,2246,2396,20200104
20200101,9호선2~3단계,언주,3261,2794,20200104
20200101,공항철도 1호선,영종,2084,2010,20200104
20200101,공항철도 1호선,인천공항2터미널,5990,5801,20200104
20200101,공항철도 1호선,인천공항1터미널,16835,17571,20200104
20200101,공항철도 1호선,공항화물청사,1344,1439,20200104
20200101,공항철도 1호선,운서,5812,6205,20200104
20200101,공항철도 1호선,청라국제도시,2909,2894,20200104
20200101,공항철도 1호선,검암,3749,4134,20200104
20200101,공항철도 1호선,계양,4539,4675,20200104
20200101,공항철도 1호선,김포공항,8633,4690,20200104
20200101,공항철도 1호선,마곡나루,1495,1764,20200104
20200101,공항철도 1호선,디지털미디어시티,3420,3501,20200104
20200101,공항철도 1호선,홍대입구,10405,9279,20200104
20200101,공항철도 1호선,공덕,1281,1964,20200104
20200101,공항철도 1호선,서울역,14369,10789,20200104
20200101,9호선,신논현,15752,14954,20200104
20200101,9호선,사평,1204,1213,20200104
20200101,9호선,고속터미널,9488,13501,20200104
20200101,9호선,신반포,1097,1057,20200104
20200101,9호선,구반포,987,1079,20200104
20200101,9호선,동작(현충원),1417,1414,20200104
20200101,9호선,흑석(중앙대입구),4011,4288,20200104
20200101,9호선,노들,2065,1990,20200104
20200101,9호선,노량진,16032,18069,20200104
20200101,9호선,샛강,1598,1611,20200104
20200101,9호선,여의도,4615,4455,20200104
20200101,9호선,국회의사당,4106,3571,20200104
20200101,9호선,당산,7609,7744,20200104
20200101,9호선,선유도,2631,2652,20200104
20200101,9호선,신목동,1446,1378,20200104
20200101,9호선,염창,7396,7578,20200104
20200101,9호선,등촌,4116,4258,20200104
20200101,9호선,증미,3161,3343,20200104
20200101,9호선,가양,8940,9185,20200104
20200101,9호선,양천향교,3694,4075,20200104
20200101,9호선,마곡나루,4194,4453,20200104
20200101,9호선,신방화,3132,3107,20200104
20200101,9호선,공항시장,1543,1815,20200104
20200101,9호선,김포공항,7514,10298,20200104
20200101,9호선,개화,1120,940,20200104
20200101,8호선,모란,2542,2103,20200104
20200101,8호선,수진,3261,3118,20200104
20200101,8호선,신흥,3062,3257,20200104
20200101,8호선,단대오거리,4779,5044,20200104
20200101,8호선,남한산성입구(성남법원.검찰청),5961,5950,20200104
20200101,8호선,산성,3041,3023,20200104
20200101,8호선,복정,4130,3672,20200104
20200101,8호선,장지,10784,10821,20200104
20200101,8호선,문정,4346,4645,20200104
20200101,8호선,가락시장,3156,3551,20200104
20200101,8호선,송파,4221,4117,20200104
20200101,8호선,석촌,3771,4422,20200104
20200101,8호선,잠실(송파구청),12712,13225,20200104
20200101,8호선,몽촌토성(평화의문),3566,3439,20200104
20200101,8호선,강동구청,4406,4486,20200104
20200101,8호선,천호(풍납토성),9229,10239,20200104
20200101,8호선,암사,8493,8171,20200104
20200101,7호선,부평구청,4647,3983,20200104
20200101,7호선,굴포천,4424,4720,20200104
20200101,7호선,삼산체육관,2094,2043,20200104
20200101,7호선,상동,7062,6914,20200104
20200101,7호선,부천시청,5832,5755,20200104
